ID,問題,正解,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,予備列,解説,問題画像,解説画像
q_0001,Q1. 次のうち、脳幹を構成する部位を頭側から尾側へ並べた際の順番として正しいものを1つ選んでください。,1,1. 中脳、橋、延髄,2. 延髄、橋、中脳,3. 延髄、中脳、橋,4. 橋、中脳、延髄,5. 橋、延髄、中脳,,脳幹を構成する部位は、頭側から尾側へ向かって中脳→橋→延髄の順で並んでいます。延髄の次に脊髄が続きます。,,
q_0002,Q2. 次のうち、脳神経や脳血管に関して正しいものを2つ選んでください。,"2,5",1. 脊髄の背側から運動神経が出ている,2. 椎骨動脈が合流し脳底動脈になる,3. 第6脳神経のことを滑車神経という,4. ヒトの頸髄は7髄節である,5. 顔面の知覚には三叉神経が関与する,,椎骨動脈が合流し脳底動脈になります。また、顔面の知覚には三叉神経が関与しています。ヒトの頸髄は8髄節です。第6脳神経は外転神経といいます。運動神経は脊髄の腹側から出ています。,,
q_0003,Q3. 次のうち、脳を覆う膜を頭蓋骨側から脳表へと並べた際の順番が正しいものを1つ選んでください。,2,1. くも膜、硬膜、軟膜,2. 硬膜、くも膜、軟膜,3. 軟膜、くも膜、硬膜,4. 硬膜、軟膜、くも膜,5. くも膜、軟膜、硬膜,,脳を覆う膜を頭蓋骨側から脳表へと並べた際の順番は、硬膜下血腫やくも膜下出血を理解するうえで基礎的な知識となります。,,
q_0004,Q4. 次のうち、成人の脳（大脳、小脳、脳幹を含む）のおおよその重さとして正しいものを1つ選んでください。,3,1. 400g,"2. 2,400g","3. 1,200g",4. 800g,"5. 1,800g",,"成人の脳の重さはおおよそ1,200?1,400gほどで、個人差があります。",,
q_0005,Q5. 次のうち、運動野がある箇所を1つ選んでください。,3,1. 後頭葉,2. 頭頂葉,3. 前頭葉,4. 側頭葉,5. 小脳,,頭頂葉は体性感覚野や頭頂連合野、側頭葉は聴覚野や側頭連合野、ウェルニッケ野、後頭葉は視覚野や視覚連合野、小脳は身体全体の平衡を保ち、知覚と運動機能を司ります。,,
q_0006,Q1. 次のうち、頭部の血管について誤っているものを1つ選んでください。,2,1. Willis動脈輪では左右前大脳動脈を前交通動脈で連結する,2. 内頸動脈が左右結合して脳底動脈となる,3. 椎骨動脈は後下小脳動脈を出す,4. 脳底動脈は橋の上縁で左右後大脳動脈に分岐する,5. Willis動脈輪では内頸動脈と後大脳動脈を後交通動脈で連結する,,椎骨動脈が左右結合して脳底動脈となります。また、脳底動脈は橋の上縁で左右後大脳動脈に分岐します。,,
q_0007,Q2. 次のうち、冠動脈にかんして誤っているものを1つ選んでください。,2,1. 冠動脈は心臓を養う血管である,2. 左冠動脈は左心耳と肺動脈の間を後方へ進む,3. 左冠動脈は前室間枝と回旋枝に分かれる,4. 右冠動脈は肺動脈幹と右心耳の間を前方へ走行し冠状溝に入って下行する,5. 心臓の拍出量の1/20が冠動脈にいく,,左冠動脈は左心耳と肺動脈の間を前方へ進み、前室間枝と回旋枝に分かれます。,,
q_0008,Q3. 次のうち、リンパ系について誤っているものを1つ選んでください。,5,1. 内皮細胞間に隙間があるため組織間液とともに高分子タンパク質や病原体、リンパ球も吸収される,2. リンパ管は20L/日の組織間液のうちの10%程度を吸収する,3. リンパ管には毛細リンパ管と集合リンパ管がある,4. リンパ節は免疫応答を介して生体防御にかかわる,5. リンパ管には弁がないため容易に逆流する,,リンパ管には弁が存在しており、筋ポンプで液体を送ります。リンパ節を介して次第に太いリンパ管になり、最終的に左静脈角か右静脈角から静脈系に注がれます。リンパの流れが滞ると浮腫の原因となります。,,
q_0009,Q4. 次のうち、毛細血管について誤っているものを1つ選んでください。,2,1. 基底膜の外側には周皮細胞がある,2. 連続型毛細血管は脳のみに分布する,3. 連続型毛細血管は内皮細胞がタイト結合でつながれており物質交換が困難である,4. 有窓型毛細血管は内皮細胞に小孔があるため物質交換をしやすい,5. 毛細血管は１層の内皮細胞と基底膜からなる,,連続型毛細血管は内皮細胞がタイト結合でつながれ、物質交換が困難です。これは広く全身に分布しています。それに対して、有窓型毛細血管は内皮細胞に小孔があるため、物質交換がしやすくなっています。小腸には、吸収した栄養分などを吸収しやすいように有窓型毛細血管が分布しています。,,
q_0010,Q5. 次のうち、循環器として誤っているものを1つ選んでください。,2,1. 静脈,2. 肺胞,3. リンパ管,4. 心臓,5. 毛細血管,,循環器は心臓、動脈、静脈、毛細血管、リンパ管からなります。,,
q_0011,Q1. 次のうち、Ⅰ型アレルギー反応との関わりが大きいものを1つ選んでください。,3,1. 単球,2. リンパ球,3. 好塩基球,4. 好中球,,,好塩基球表面の受容体に結合したIgE抗体に、対応する抗原が結合すると好塩基球が刺激されて脱顆粒を生じヒスタミンを放出します。ヒスタミンは末梢血管拡張と血管透過性亢進を起こしⅠ型アレルギーを惹起します。,,
